"times","t","logp"
2,4.15178881159686,-8.69369230694588
4,3.93009210282746,-8.02356089232304
6,3.73157018304326,-7.43442179031642
8,3.55528113297557,-6.92105889592119
10,3.39702187305935,-6.46888881856679
12,3.33718355918685,-6.30021836175118
14,3.36287982141704,-6.37248433053061
16,3.47120107328971,-6.67974063106547
18,3.60473124053492,-7.0640422363255
20,3.63112474758477,-7.14068292171868
22,3.53161574676829,-6.852852301606
24,3.25026023194738,-6.05752885043499
26,3.00979524103393,-5.4018354517069
28,2.8899220803221,-5.08411146659056
30,2.94014053356948,-5.21643849317587
32,3.09999824176231,-5.64501272969575
34,3.22957635586653,-6.00020781859766
36,3.30358113665795,-6.20603164750979
38,3.33674738469302,-6.29895192851115
40,3.41537625187363,-6.52084598644016
42,3.51952427464662,-6.81811886980726
44,3.6364701368979,-7.15625369135472
46,3.60756902261706,-7.07229028346266
48,3.39366268585051,-6.45938191995352
50,3.02570467103958,-5.44451651801832
52,2.65468293078361,-4.47989127664526
54,2.40088043620909,-3.85889631086514
56,2.29925969050745,-3.61990819252759
58,2.25938195776701,-3.52769802007229
60,2.25922700602819,-3.52733901204943
62,2.19818728344755,-3.38795625043397
64,2.12470305481667,-3.22302151612065
66,2.04750461356477,-3.05318835835406
68,2.03599525096559,-3.0281732670142
70,2.08435028642142,-3.13379981463971
72,2.19622785600363,-3.3835093672484
74,2.36188234614541,-3.76648850093754
76,2.6041264504988,-4.3535125157145
78,2.93699131068557,-5.20811378167101
80,3.37573573797335,-6.40869365083305
82,3.89722435113805,-7.92522405598696
84,4.44865120702258,-9.60820279486457
86,4.87007448939142,-10.9330350334947
88,5.14787467055628,-11.8189137516754
90,5.19256982130037,-11.962162273329
92,5.04006514986527,-11.47421028033
94,4.64809640073709,-10.2319068699075
96,4.35546159990486,-9.3192670722154
98,4.26055255666757,-9.02667367590744
100,4.63964898532989,-10.205325057094
