"times","t","logp"
1,5.05861189290185,-11.334449360125
2,4.94119269721213,-10.9367237643057
3,4.82211424283633,-10.5468256273081
4,4.70632420867508,-10.178446795783
5,4.59101520904028,-9.82217258070355
6,4.47704112591154,-9.47906022316807
7,4.37082134034632,-9.16604528720617
8,4.25694242461649,-8.83864728329541
9,4.13726894262155,-8.50052592098125
10,4.04319512543632,-8.238572052414
11,3.98014685991261,-8.07015175342817
12,3.93552050463562,-7.957275887051
13,3.91498105958396,-7.91025547305823
14,3.93458034901199,-7.97827855435099
15,3.98632065904741,-8.14088723135284
16,4.04026954403825,-8.30593898410467
17,4.11263520247573,-8.52149016034321
18,4.20557731535992,-8.79563528447251
19,4.26342864511864,-8.95739300046817
20,4.27978947172216,-8.98247088358691
21,4.2735893399201,-8.92894903133156
22,4.22782206984624,-8.75408834608937
23,4.1115402710806,-8.36997901186843
24,3.95473287120889,-7.87548408044559
25,3.82822189856692,-7.48616596197661
26,3.70263690987853,-7.11316720230329
27,3.6053938742926,-6.82964707474684
28,3.57577547517802,-6.73912927541705
29,3.57864560433417,-6.74062872762234
30,3.64314445576269,-6.91298720526877
31,3.74639586783152,-7.19559417493001
32,3.83543060542006,-7.4445484329934
33,3.91009767660414,-7.65756849232742
34,3.9846870440536,-7.87432147371794
35,4.03768438048523,-8.03606853777814
36,4.057736491204,-8.10859413943633
37,4.06201595030003,-8.13858604195617
38,4.07292116571507,-8.19215127227849
39,4.09750406502491,-8.29179543481565
40,4.12459068090699,-8.40430436947761
41,4.14694741428803,-8.50651467231282
42,4.18576385466316,-8.66233824664394
43,4.23182133174056,-8.8443876504263
44,4.23117455926239,-8.88113927518591
45,4.17884014635959,-8.75116249950317
46,4.09377365533311,-8.51107377569419
47,3.96056144420418,-8.11493202623671
48,3.75152563745322,-7.48963868323497
49,3.49693263082599,-6.74203764570507
50,3.26302489109121,-6.0734678126906
51,3.02095898437774,-5.40553283006838
52,2.79709363312753,-4.81222653737365
53,2.62490593709332,-4.37216779714413
54,2.48099066943574,-4.01645608035803
55,2.39446728001909,-3.80717303627996
56,2.34473309508456,-3.68766035609136
57,2.30264039878728,-3.58699523154088
58,2.27667943876705,-3.52404284518098
59,2.27043905257469,-3.50610931752554
60,2.24987610501146,-3.45526817037519
61,2.20359709710606,-3.34655040239513
62,2.14936234203776,-3.22160515698866
63,2.09731765651588,-3.10375310412652
64,2.03778163828239,-2.97211478941274
65,1.97233577186271,-2.83086072452991
66,1.926260425458,-2.73249178081207
67,1.90288224612021,-2.68196021219883
68,1.89151553104434,-2.65618192260382
69,1.89577278119858,-2.66158009466233
70,1.91757940488581,-2.70214457123578
71,1.95476466617996,-2.77385970186275
72,2.00446818845262,-2.87072735261964
73,2.06129929354894,-2.98154980052361
74,2.12860081893333,-3.1140037610516
75,2.21629883857345,-3.29062870010392
76,2.31794785244338,-3.49740376727335
77,2.44030019867077,-3.75218870694434
78,2.59268364702341,-4.07900779056069
79,2.77044424688167,-4.47233292189813
80,2.99476233256036,-4.99240409684366
81,3.25730538838822,-5.62871494158721
82,3.53165193887484,-6.32818516722141
83,3.84869135866014,-7.19052336391604
84,4.20522696028101,-8.23419514190621
85,4.53084053127359,-9.26057239902
86,4.8394948949415,-10.309652785227
87,5.15300776885556,-11.4511984537565
88,5.41730419597704,-12.4597773685993
89,5.61425175922447,-13.233173448401
90,5.76584441044255,-13.805631654424
91,5.87805686139495,-14.1416337062957
92,5.92248971433935,-14.0940317813441
93,5.86213105025987,-13.5287332856461
94,5.75432260827184,-12.8526942487707
95,5.64600925873749,-12.3140307484847
96,5.50496282438931,-11.7712025088391
97,5.39290730134649,-11.41392288382
98,5.37490076202818,-11.457046556165
99,5.42105352441063,-12.1744044948198
100,4.26124753417385,-8.21262145472477
