Time	t_value
0.377	4.168
2.260	4.090
2.260	4.110
3.955	3.974
5.461	3.819
7.345	3.684
9.416	3.626
11.488	3.626
12.994	3.723
14.501	3.839
16.196	3.935
17.702	3.994
19.586	3.974
20.904	3.800
22.222	3.626
23.540	3.432
24.670	3.200
25.989	3.045
27.684	2.948
29.379	3.006
30.697	3.123
32.015	3.239
32.957	3.355
34.652	3.355
36.347	3.297
38.230	3.258
40.113	3.355
41.243	3.452
42.185	3.587
43.879	3.626
45.386	3.490
46.704	3.316
47.458	3.123
48.588	2.929
49.529	2.716
50.659	2.523
51.789	2.348
53.672	2.232
56.121	2.155
58.380	2.155
60.640	2.116
62.524	2.019
64.407	1.903
66.102	1.884
68.173	1.942
69.868	1.981
71.375	2.097
72.693	2.174
74.011	2.329
75.330	2.465
76.460	2.658
77.778	2.890
78.719	3.142
79.473	3.432
80.414	3.703
81.733	4.013
82.674	4.323
84.181	4.632
85.499	4.903
86.629	5.097
87.947	5.174
89.266	5.252
90.960	5.194
91.714	4.981
92.655	4.768
93.409	4.516
94.350	4.245
95.104	4.013
95.857	3.781
97.552	3.645
98.493	3.800
98.870	4.032
